"region","week","date_from","date_to","track_id","track_name","artist","track_position","track_streams","track_url"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","3caMfJGFp53NAH2TuigdNj","Hunter","Galantis","152","3534403","https://open.spotify.com/track/3caMfJGFp53NAH2TuigdNj"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","1a5Yu5L18qNxVhXx38njON","Hear Me Now","Alok","153","3512901","https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6DNtNfH8hXkqOX1sjqmI7p","Cold Water (feat. Justin Bieber & MØ)","Major Lazer","154","3501452","https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","17Fd6Yb7mSbinKG8LoWfFl","I Took A Pill In Ibiza - Seeb Remix","Mike Posner","155","3501303","https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","3hB5DgAiMAQ4DzYbsMq1IT","Love Yourself","Justin Bieber","156","3474439","https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","3b5Li4QKDVBx1x7fQuu54a","Tired","Alan Walker","157","3447681","https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","05rJdH2MRLJ3sQoEUO78qs","Paradinha","Anitta","158","3447132","https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","2RttW7RAu5nOAfq6YFvApB","Happier","Ed Sheeran","159","3436914","https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","2jYmK1cb3Uya6FFsocdpzO","Why","Sabrina Carpenter","160","3420215","https://open.spotify.com/track/2jYmK1cb3Uya6FFsocdpzO"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","3Q3myFA7q4Op95DOpHplaY","do re mi","blackbear","161","3403787","https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6XOYVSmNDjKUNMXooU4s4z","No Vacancy","OneRepublic","162","3391217","https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6mapJIPnQ23RTAevUoE0DL","Swang","Rae Sremmurd","163","3389585","https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","4ARPvK8DHLwt4oX65ZAFMw","Look At Me!","XXXTENTACION","164","3375797","https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","5i50gKdLAjjIr7UxRT5IVy","Alguien Robo","Sebastian Yatra","165","3373450","https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","2bjwRfXMk4uRgOD9IBYl9h","Portland","Drake","166","3371994","https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6r46lnXFbE9fr2d3KNaGbe","Imitadora","Romeo Santos","167","3370952","https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","4TZy1wLyHec06pwgFYDh1a","Mercy","Shawn Mendes","168","3315009","https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","5Z01UMMf7V1o0MzF86s6WJ","Lose Yourself - From ""8 Mile"" Soundtrack","Eminem","169","3302377","https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6eT7xZZlB2mwyzJ2sUKG6w","White Iverson","Post Malone","170","3262616","https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","7gHs73wELdeycvS48JfIos","Faded","Alan Walker","171","3248569","https://open.spotify.com/track/7gHs73wELdeycvS48JfIos"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6mORGLOz79w6VsCRLWYYuK","The Night We Met","Lord Huron","172","3246565","https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK"
